2026-06-02 04:36:09 | INFO    | __main__ | Logging to: logs/bot_test_20260602_043609.log
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | ================================================================================
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | Applying Polymarket Gamma-API patches (loguru-instrumented)
2026-06-02 04:36:11 | INFO    | patches.gamma_markets |   platform: win32  using_httpx_fallback: True
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | ================================================================================
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] patched build_markets_query (array params)
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] patched PolymarketInstrumentProvider.load_all_async
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] patched PolymarketDataLoader._fetch_event_by_slug (Windows-safe httpx)
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | ================================================================================
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] all patches applied successfully
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | ================================================================================
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] verify: build_markets_query slug is list: True
2026-06-02 04:36:11 | INFO    | patches.gamma_markets | [gamma] verify: load_all_async is patched: True
2026-06-02 04:36:11 | INFO    | __main__ | Starting bot: simulation=True test_mode=True grafana=True
2026-06-02 04:36:26 | WARNING | bot.runner | Redis connection failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-06-02 04:36:26 | WARNING | bot.runner | Simulation mode will be static (from .env)
2026-06-02 04:36:26 | INFO    | bot.runner | ================================================================================
2026-06-02 04:36:26 | INFO    | bot.runner | LOADING BTC 15-MIN MARKETS BY SLUG
2026-06-02 04:36:26 | INFO    | bot.runner |   Interval start: 1780389000 | Count: 98
2026-06-02 04:36:26 | INFO    | bot.runner |   First: btc-updown-15m-1780388100  Last: btc-updown-15m-1780475400
2026-06-02 04:36:26 | INFO    | bot.runner | ================================================================================
2026-06-02 04:36:26 | INFO    | bot.runner | Polymarket wallet config: signature_type=2 (POLY_GNOSIS_SAFE)
2026-06-02 04:36:26 | INFO    | bot.runner |   Funder (USDC holder): 0x23342a623A760cf11cFdc1736f8B05cf7A70A3F4
2026-06-02 04:36:26 | INFO    | core.strategy.processors.spike | Initialized Spike Detector: deviation=12.0%, velocity=3.0%, lookback=20
