2026-06-01 17:16:15 | INFO    | __main__ | Logging to: logs/bot_test_20260601_171615.log
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | Applying Polymarket Gamma-API patches (loguru-instrumented)
2026-06-01 17:16:18 | INFO    | patches.gamma_markets |   platform: win32  using_httpx_fallback: True
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] patched build_markets_query (array params)
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] patched PolymarketInstrumentProvider.load_all_async
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] patched PolymarketDataLoader._fetch_event_by_slug (Windows-safe httpx)
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] all patches applied successfully
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | ================================================================================
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] verify: build_markets_query slug is list: True
2026-06-01 17:16:18 | INFO    | patches.gamma_markets | [gamma] verify: load_all_async is patched: True
2026-06-01 17:16:18 | INFO    | __main__ | Starting bot: simulation=True test_mode=True grafana=True
2026-06-01 17:16:32 | WARNING | bot.runner | Redis connection failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-06-01 17:16:32 | WARNING | bot.runner | Simulation mode will be static (from .env)
2026-06-01 17:16:32 | INFO    | bot.runner | ================================================================================
2026-06-01 17:16:32 | INFO    | bot.runner | LOADING BTC 15-MIN MARKETS BY SLUG
2026-06-01 17:16:32 | INFO    | bot.runner |   Interval start: 1780348500 | Count: 98
2026-06-01 17:16:32 | INFO    | bot.runner |   First: btc-updown-15m-1780347600  Last: btc-updown-15m-1780434900
2026-06-01 17:16:32 | INFO    | bot.runner | ================================================================================
2026-06-01 17:16:32 | INFO    | bot.runner | Polymarket wallet config: signature_type=2 (POLY_GNOSIS_SAFE)
2026-06-01 17:16:32 | INFO    | bot.runner |   Funder (USDC holder): 0x23342a623A760cf11cFdc1736f8B05cf7A70A3F4
2026-06-01 17:16:32 | INFO    | core.strategy.processors.spike | Initialized Spike Detector: deviation=8.0%, velocity=3.0%, lookback=20
2026-06-01 17:16:32 | INFO    | core.strategy.processors.sentiment | Initialized Sentiment Processor: fear<25, greed>75
2026-06-01 17:16:32 | INFO    | core.strategy.processors.divergence | Initialized Price Divergence Processor: momentum=0.3%, extreme_fade=68%/32%
2026-06-01 17:16:32 | INFO    | core.strategy.processors.orderbook | Initialized OrderBook Processor: imbalance=30%, wall=20%, min_vol=$50
2026-06-01 17:16:32 | INFO    | core.strategy.processors.tick_velocity | Initialized Tick Velocity Processor: 60s=1.5%, 30s=1.0%
